rank,name,rating,url,location_coordinate,location_country,location_region,elevation_top_m,elevation_difference_m,total_slope_length_km,number_of_lifts,number_of_slopes,annual_snowfall_cm,number_of_matches
34,Engelberg - Titlis,1110.3,https://www.engelberg.ch/,"{'lat': '46.8208', 'long': '8.4114'}",Switzerland,Obwalden,3020.0,2017.0,80.0,28.0,63.0,500.0,9
35,Grandvalira,1110.1,https://www.grandvalira.com/,"{'lat': '42.5428', 'long': '1.7336'}",Andorra,Encamp,2640.0,930.0,215.0,74.0,54.0,500.0,1
36,Via Lattea,1108.5,https://www.vialattea.it/,"{'lat': '44.9555', 'long': '6.8769'}",Italy,Piedmont (Piemonte),2789.0,1251.0,400.0,70.0,128.0,500.0,1
37,Snowmass,1107.9,https://www.aspensnowmass.com/,"{'lat': '39.2097', 'long': '-106.9378'}",USA,Colorado,3813.0,1340.0,237.0,20.0,40.0,760.0,1
38,Laax,1105.2,https://www.flimslaax.com/,"{'lat': '46.8466', 'long': '9.2630'}",Switzerland,Graubünden,3018.0,1918.0,214.0,28.0,63.0,520.0,1
39,Parsenn,1104.8,https://www.davosklostersmountains.ch/de/mountains/berge/parsenn,"{'lat': '46.8326', 'long': '9.8093'}",Switzerland,Graubünden,2844.0,2034.0,95.0,18.0,48.0,400.0,5
40,Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,1104.4,https://www.ski.it/,"{'lat': '46.2276', 'long': '10.8265'}",Italy,Trentino-Alto Adige,2504.0,1652.0,155.0,58.0,73.0,350.0,1
41,Beaver Creek,1101.9,https://www.beavercreek.com/,"{'lat': '39.6043', 'long': '-106.5167'}",USA,Colorado,3488.0,1233.0,150.0,25.0,47.0,752.0,1
42,KitzSki (Kitzbühel),1099.3,https://www.kitzski.at/,"{'lat': '47.444167', 'long': '12.392778'}",Austria,Tiryol,2000.0,1200.0,188.0,58.0,82.0,400.0,1
43,Saas-Fee,1096.5,https://www.saas-fee.ch,"{'lat': '46.107882', 'long': '7.928735'}",Switzerland,Valais,3573.0,1773.0,100.0,23.0,35.0,600.0,1
44,Steamboat,1096.0,https://www.steamboat.com/,"{'lat': '40.4850', 'long': '-106.8317'}",USA,Colorado,3221.0,1118.0,165.0,20.0,0.0,760.0,1
45,Kaltenbach – Hochzillertal,1095.9,https://www.hochzillertal.com/,"{'lat': '47.2988', 'long': '11.8978'}",Austria,Schwaz,2378.0,1778.0,85.6,40.0,78.0,450.0,1
46,Alta Badia,1095.9,https://www.altabadia.org/,"{'lat': '46.5749', 'long': '11.8951'}",Italy,Trentino-Alto Adige/Südtirol,2778.0,1454.0,130.0,53.0,100.0,300.0,1
47,Silvretta Montafon,1095.8,https://www.silvretta-montafon.at,"{'lat': '47.0493', 'long': '9.9690'}",Austria,Bludenz,2430.0,1730.0,140.0,36.0,67.0,400.0,1
48,Cortina d'Ampezzo,1095.7,https://www.skipasscortina.com,"{'lat': '46.5405', 'long': '12.1357'}",Italy,Venetia (Veneto),2828.0,1611.0,120.0,27.0,52.0,300.0,1
49,Mustang Powder,1094.6,https://www.mustangpowder.com/,"{'lat': '50.9735', 'long': '-118.6971'}",Canada,British Columbia,2440.0,1740.0,70.0,5.0,25.0,1500.0,1
50,Espace San Bernardo,1094.4,https://www.espacesanbernardo.ski/,"{'lat': '45.616', 'long': '6.847'}",France,Auvergne-Rhône-Alpes,2800.0,1610.0,144.0,38.0,38.0,700.0,1
51,Breckenridge,1092.3,https://www.breckenridge.com/,"{'lat': '39.4817', 'long': '-106.0384'}",USA,Colorado,3914.0,988.0,153.0,35.0,46.0,762.0,1
52,Vail,1091.2,https://www.vail.com/,"{'lat': '39.6061', 'long': '-106.3550'}",USA,Colorado,3527.0,1070.0,234.0,34.0,150.0,750.0,9
53,Schladming 4-Berge Skischaukel,1090.0,http://www.4berge.at/,"{'lat': '47.392138', 'long': '13.686028'}",Austria,Liezen,2015.0,1287.0,123.0,47.0,78.0,400.0,1
54,Baqueira Beret,1088.3,https://www.baqueira.es/,"{'lat': '42.7009', 'long': '0.9348'}",Spain,Catalonia,2610.0,1110.0,165.0,36.0,49.0,500.0,1
55,Winter Park Resort,1085.6,https://www.winterparkresort.com/,"{'lat': '39.8860', 'long': '-105.7625'}",USA,Colorado,3676.0,933.0,143.0,25.0,39.0,760.0,1
56,Obertauern,1084.9,https://www.obertauern.com,"{'lat': '47.2495', 'long': '13.5590'}",Austria,Tamsweg,2313.0,683.0,100.0,26.0,63.0,450.0,21
57,Heavenly,1084.1,https://www.skiheavenly.com/,"{'lat': '38.9354', 'long': '-119.9405'}",USA,California,3060.0,1059.0,94.0,27.0,27.0,910.0,9
58,Gurgl,1084.0,https://www.gurgl.com/,"{'lat': '46.8692', 'long': '11.0233'}",Austria,Imst,3030.0,1237.0,112.0,25.0,58.0,600.0,1
59,Espace Diamant,1082.9,https://www.espacediamant.com/,"{'lat': '45.8025', 'long': '6.5208'}",France,Auvergne-Rhône-Alpes,2069.0,1069.0,192.0,82.0,67.0,600.0,1
60,Snowbird,1081.8,https://www.snowbird.com/,"{'lat': '40.5809', 'long': '-111.6549'}",USA,Utah,3353.0,988.0,103.0,14.0,77.0,1270.0,1
61,Mammoth Mountain,1081.4,https://www.mammothmountain.com/,"{'lat': '37.630769', 'long': '-119.032594'}",USA,California,3369.0,945.0,89.8,25.0,50.0,1000.0,1
62,Aspen Highlands,1080.9,https://www.aspensnowmass.com/,"{'lat': '39.1827', 'long': '-106.8551'}",USA,Colorado,3559.0,1108.0,135.0,5.0,42.0,700.0,1
63,Crans-Montana,1080.6,https://www.crans-montana.ch/,"{'lat': '46.3113', 'long': '7.4808'}",Switzerland,Valais,2927.0,1417.0,140.0,19.0,40.0,400.0,1
64,Monashee,1079.3,https://www.cmhheli.com/destinations/monashees,"{'lat': '50.8806', 'long': '-118.5604'}",Canada,British Columbia,3140.0,2560.0,0.0,3.0,0.0,1500.0,1
65,Stubai Glacier,1078.8,https://www.stubaier-gletscher.com/,"{'lat': '47.11087', 'long': '11.12788'}",Austria,Innsbruck-Land,3212.0,1515.0,68.0,26.0,35.0,750.0,1
66,Aspen Mountain,1078.3,https://www.aspensnowmass.com/,"{'lat': '39.18729', 'long': '-106.81754'}",USA,Colorado,3418.0,996.0,103.0,9.0,57.0,762.0,1
67,St. Moritz – Corviglia,1078.0,https://www.mountains.ch/,"{'lat': '46.4983', 'long': '9.8390'}",Switzerland,Graubünden,3057.0,1322.0,155.0,23.0,155.0,400.0,1
68,Arabba/Marmolada,1077.4,https://www.arabba.it/,"{'lat': '46.4961', 'long': '11.8774'}",Italy,Veneto,3269.0,1823.0,63.0,26.0,20.0,400.0,1
69,Hemsedal,1076.9,https://www.skistar.com/no/vare-skisteder/hemsedal/,"{'lat': '60.8620', 'long': '8.5514'}",Norway,Viken,1450.0,830.0,44.0,21.0,37.0,350.0,45
70,Hochkönig,1076.7,https://www.hochkoenig.at/,"{'lat': '47.3814', 'long': '13.0550'}",Austria,Zell am See,1900.0,1100.0,120.0,34.0,70.0,600.0,1
71,Cariboos,1076.1,https://www.cmhheli.com/destinations/cariboos,"{'lat': '53.2167', 'long': '-119.2855'}",Canada,British Columbia,3000.0,1900.0,85.0,10.0,25.0,1200.0,1
72,Schilthorn,1074.7,https://www.schilthorn.ch/,"{'lat': '46.5573', 'long': '7.8355'}",Switzerland,Bern,2970.0,2174.0,54.0,16.0,48.0,400.0,1
73,Telluride,1072.6,https://www.tellurideskiresort.com/,"{'lat': '37.9375', 'long': '-107.8123'}",USA,Colorado,3815.0,1155.0,88.2,19.0,88.0,760.0,1
74,Revelstoke Mountain Resort,1072.3,https://www.revelstokemountainresort.com/,"{'lat': '51.0850', 'long': '-118.1500'}",Canada,British Columbia,2225.0,1713.0,55.0,7.0,39.0,1200.0,1
75,Ponte di Legno-Tonale,1071.6,https://www.pontedilegnotonale.com/,"{'lat': '46.2532', 'long': '10.5858'}",Italy,Trentino-Alto Adige (Trentino-Südtirol),3000.0,1879.0,100.0,30.0,63.0,400.0,1
76,La Clusaz,1071.3,https://www.laclusaz.com/,"{'lat': '45.9043', 'long': '6.4275'}",France,Haute-Savoie,2485.0,1435.0,125.0,49.0,50.0,500.0,1
77,Kronplatz,1071.2,https://www.kronplatz.com/,"{'lat': '46.7597', 'long': '11.9512'}",Italy,Trentino-Alto Adige/Südtirol,2275.0,1302.0,121.0,31.0,28.0,250.0,1
78,Garmisch-Classic,1069.6,https://zugspitze.de/de/Garmisch-Classic/Winter,"{'lat': '47.4925', 'long': '11.0956'}",Germany,Garmisch-Partenkirchen,2050.0,1310.0,40.0,18.0,30.0,500.0,1
79,Northstar California,1067.9,https://www.northstarcalifornia.com/,"{'lat': '39.2744', 'long': '-120.1204'}",USA,California,2624.0,695.0,97.0,19.0,27.0,900.0,1
80,Gothics,1066.1,https://www.cmhheli.com/our-lodges/gothics/,"{'lat': '51.0000', 'long': '-117.5000'}",Canada,British Columbia,2800.0,1800.0,0.0,2.0,0.0,1200.0,1
81,Niseko Weiss,1065.0,https://hanazononiseko.com/en/winter/activities/weiss-cat-skiing,"{'lat': '42.8709', 'long': '140.7243'}",Japan,Hokkaido,930.0,490.0,6.0,1.0,5.0,1500.0,1
82,Rusutsu,1064.7,https://rusutsu.com/en/,"{'lat': '42.7490', 'long': '140.8959'}",Japan,Hokkaido,994.0,594.0,42.0,18.0,42.0,1200.0,1
83,Livigno,1063.7,https://www.livigno.eu/,"{'lat': '46.5376', 'long': '10.1358'}",Italy,Lombardy,2798.0,982.0,115.0,32.0,3.0,300.0,5
84,La Grave,1063.6,https://www.la-grave.com/,"{'lat': '45.045837', 'long': '6.312683'}",France,Hautes-Alpes,3534.0,2064.0,3.0,3.0,1.0,700.0,1
85,Keystone,1063.6,https://www.keystoneresort.com/,"{'lat': '39.605', 'long': '-105.951'}",USA,Colorado,3743.0,908.0,135.0,21.0,50.0,600.0,1
86,Kleine Scheidegg/Männlichen,1063.4,https://www.jungfrau.ch/de-ch/jungfrau-ski-region/,"{'lat': '46.6056', 'long': '7.9612'}",Switzerland,Bern,2400.0,1456.0,102.0,23.0,30.0,400.0,1
87,Yuzawa Kogen/Gala Yuzawa/Ishiuchi Maruyama,1063.0,https://www.yuzawasnowlink.com/,"{'lat': '36.9333', 'long': '138.8167'}",Japan,Niigata Prefecture,1181.0,925.0,33.8,30.0,30.0,1200.0,1
88,Gemsstock,1062.4,https://www.andermatt-sedrun-disentis.ch/,"{'lat': '46.6290', 'long': '8.5947'}",Switzerland,Uri,2961.0,1517.0,31.0,4.0,2.0,550.0,1
89,Corvatsch,1062.2,https://www.corvatsch-diavolezza.ch/berge/corvatsch,"{'lat': '46.4580', 'long': '9.8168'}",Switzerland,Graubünden,3303.0,1506.0,120.0,14.0,53.0,500.0,1
90,Mt. Bachelor,1060.3,https://www.mtbachelor.com/,"{'lat': '43.9783', 'long': '-121.6870'}",USA,Oregon,2763.0,1026.0,99.0,15.0,34.0,983.0,1
91,Damüls Mellau,1059.8,https://www.damuels-mellau.at/,"{'lat': '47.2928', 'long': '9.8836'}",Austria,Bezirk Bregenz,2050.0,1340.0,80.8,21.0,52.0,550.0,1
92,Copper Mountain,1059.2,https://www.coppercolorado.com/,"{'lat': '39.5022', 'long': '-106.1496'}",USA,Colorado,3792.0,832.0,126.0,24.0,126.0,625.0,1
93,Le Grand Domaine,1058.9,https://skipass.valmorel.com/,"{'lat': '45.455', 'long': '6.451'}",France,Savoie,2403.0,1153.0,165.0,47.0,154.0,500.0,1
94,Bad Gastein/Bad Hofgastein,1057.7,https://www.skigastein.com/de/skigebiet/schlossalm-angertal-stubnerkogel,"{'lat': '47.1145', 'long': '13.1376'}",Austria,Pongau,2300.0,1440.0,83.0,18.0,66.0,300.0,1
95,Åre,1055.6,http://www.skistar.com/are,"{'lat': '63.3980', 'long': '13.0827'}",Sweden,Jämtland,1274.0,894.0,91.0,35.0,58.0,300.0,101
96,Deer Valley,1055.2,https://www.deervalley.com/,"{'lat': '40.6374', 'long': '-111.4783'}",USA,Utah,2917.0,914.0,103.0,25.0,103.0,360.0,1
97,Monte Bianco,1054.8,https://montebianco.com/,"{'lat': '45.8147', 'long': '6.9627'}",Italy,Aosta Valley (Valle d'Aosta),3466.0,2096.0,42.0,2.0,2.0,400.0,1
98,Andermatt/Oberalp/Sedrun,1053.6,https://andermatt-sedrun-disentis.ch/,"{'lat': '46.6373', 'long': '8.5943'}",Switzerland,Uri,2600.0,1156.0,70.0,13.0,56.0,500.0,1
99,Glacier 3000,1053.0,https://www.glacier3000.ch/,"{'lat': '46.3496', 'long': '7.1686'}",Switzerland,Bern,3016.0,1673.0,31.0,11.0,10.0,500.0,1
100,Bormio,1052.8,https://www.bormioski.eu/,"{'lat': '46.4674', 'long': '10.3721'}",Italy,Alta Valtellina,3017.0,1817.0,50.0,14.0,14.0,500.0,1
101,Galibier Thabor,1050.4,https://skipass.valloire.com/,"{'lat': '45.1659', 'long': '6.4299'}",France,Savoie,2750.0,1320.0,160.0,30.0,85.0,400.0,1
102,Courmayeur,1049.7,https://www.courmayeur-montblanc.com/,"{'lat': '45.808056', 'long': '6.967778'}",Italy,Aosta Valley,2755.0,1550.0,42.0,18.0,16.0,400.0,1
103,Nassfeld,1049.3,http://www.nassfeld.at,"{'lat': '46.5640', 'long': '13.2815'}",Austria,Hermagor,2002.0,1402.0,110.0,30.0,45.0,300.0,1
104,Mitsumata/Kagura/Tashiro (Mt. Naeba),1049.0,https://www.princehotels.com/en/ski/kagura/index.html,"{'lat': '36.8623', 'long': '138.7687'}",Japan,Niigata Prefecture,1845.0,1225.0,30.0,19.0,30.0,800.0,1
105,Snowbasin,1047.3,https://www.snowbasin.com/,"{'lat': '41.2164', 'long': '-111.8567'}",USA,Utah,2850.0,900.0,80.0,13.0,3.0,1000.0,1
106,Alpe di Siusi,1047.0,https://www.seiseralm.it/ski,"{'lat': '46.5447', 'long': '11.6350'}",Italy,Trentino-Alto Adige,2220.0,993.0,63.0,21.0,3.0,450.0,1
107,Val Cenis,1046.5,https://www.valcenis.ski/,"{'lat': '45.2852', 'long': '6.8857'}",France,Savoie,2800.0,1500.0,125.0,29.0,25.0,550.0,1
108,Happo-One,1045.8,https://www.happo-one.jp/,"{'lat': '36.6958', 'long': '137.8378'}",Japan,Nagano Prefecture,1831.0,1071.0,52.0,22.0,52.0,800.0,1
109,Flumserberg,1045.8,https://www.flumserberg.ch/,"{'lat': '47.0949', 'long': '9.3030'}",Switzerland,St. Gallen,2222.0,1557.0,65.0,17.0,1.0,400.0,1
110,Belvedere/Col Rodella/Ciampac/Buffaure,1045.8,https://www.valdifassalift.it/,"{'lat': '46.476', 'long': '11.771'}",Italy,Trentino-Alto Adige,2485.0,1165.0,55.0,35.0,30.0,300.0,1
111,Adamants,1044.9,https://www.cmhheli.com/destinations/adamants,"{'lat': '51.3653', 'long': '-117.5002'}",Canada,British Columbia,3100.0,2200.0,30.0,3.0,15.0,1000.0,1
112,First – Grindelwald,1044.8,https://www.jungfrau.ch/de-ch/jungfrau-ski-region/skigebiet-grindelwald-first/,"{'lat': '46.6253', 'long': '8.0391'}",Switzerland,Bern,2500.0,1450.0,49.0,10.0,3.0,500.0,1
113,Aletsch Arena,1044.6,https://www.aletscharena.ch/,"{'lat': '46.3914', 'long': '8.0471'}",Switzerland,Valais,2869.0,1024.0,104.0,35.0,35.0,450.0,1
114,Sierra Nevada,1044.3,https://sierranevada.es/,"{'lat': '37.0935', 'long': '-3.3974'}",Spain,Granada,3300.0,1200.0,113.0,23.0,60.0,250.0,1
115,Crystal Mountain,1043.7,https://crystalmountainresort.com/,"{'lat': '46.9353', 'long': '-121.4742'}",USA,Washington,2137.0,796.0,50.0,11.0,45.0,1300.0,1
116,Grimentz/Zinal,1043.6,https://www.valdanniviers.ch/,"{'lat': '46.1626', 'long': '7.5803'}",Switzerland,Valais,2900.0,1330.0,115.0,21.0,49.0,400.0,1
117,Bella Coola,1043.4,https://www.bellacoolaheliskiing.com/,"{'lat': '52.3706', 'long': '-126.7494'}",Canada,British Columbia,2896.0,1982.0,0.0,6.0,0.0,1500.0,1
118,Großarltal/Dorfgastein,1043.0,https://www.grossarltal.info | https://www.dorfgastein.com,"{'lat': '47.2345', 'long': '13.1994'}",Austria,Pongau,2033.0,1184.0,67.5,17.0,42.0,300.0,1
119,Alta,1042.6,https://www.alta.com/,"{'lat': '40.5884', 'long': '-111.6385'}",USA,Utah,3200.0,600.0,71.0,8.0,71.0,1300.0,1
120,Fernie,1040.9,https://skifernie.com/,"{'lat': '49.4639', 'long': '-115.0908'}",Canada,British Columbia,2134.0,1082.0,142.0,10.0,5.0,1100.0,1
121,Last Frontier,1040.5,https://www.lastfrontierheli.com/,"{'lat': '56.8327', 'long': '-130.2909'}",Canada,British Columbia,2600.0,2000.0,0.0,0.0,0.0,1600.0,1
122,Hohsaas,1040.4,https://www.saas-fee.ch/de/bergbahnen-hohsaas-ag,"{'lat': '46.133', 'long': '7.932'}",Switzerland,Valais,3200.0,1641.0,26.0,8.0,3.0,800.0,1
123,Belalp-Blatten,1040.2,https://www.belalp.ch/,"{'lat': '46.3386', 'long': '7.9653'}",Switzerland,Valais,3118.0,1796.0,38.0,13.0,29.0,450.0,1
124,3 Zinnen Dolomites,1039.5,https://www.dreizinnen.com/,"{'lat': '46.7207', 'long': '12.3000'}",Italy,Trentino-Alto Adige,2200.0,1070.0,86.0,20.0,3.0,400.0,1
125,Myoko Akakura,1039.1,https://akakura-ski.com/,"{'lat': '36.8917', 'long': '138.1783'}",Japan,Niigata Prefecture,1491.0,804.0,20.0,21.0,20.0,1200.0,1
126,Vars/Risoul,1038.9,https://www.vars.com - https://www.risoul.com,"{'lat': '44.5586', 'long': '6.6909'}",France,Provence-Alpes-Côte d’Azur,2750.0,1100.0,185.0,35.0,59.0,300.0,1
127,Kiroro,1038.4,https://www.kiroro.co.jp/,"{'lat': '43.0660', 'long': '140.9808'}",Japan,Hokkaido,1180.0,660.0,30.0,10.0,30.0,1400.0,1
128,Grossglockner Heiligenblut,1036.7,https://skisport.com/Grossglockner/,"{'lat': '47.048836', 'long': '12.839640'}",Austria,Spittal an der Drau,2989.0,1688.0,47.0,10.0,3.0,500.0,1
129,Passo San Pellegrino/Falcade,1036.0,https://www.skiareasanpellegrino.it/,"{'lat': '46.3786', 'long': '11.7433'}",Italy,"Trentino-Alto Adige (Trentino-Südtirol), Trentino",2513.0,1323.0,67.0,15.0,57.0,300.0,1
130,Kappl,1035.9,http://www.kappl.com/de/aktiv/skigebiet-kappl,"{'lat': '47.0737', 'long': '10.3439'}",Austria,Landeck,2690.0,1510.0,42.0,10.0,26.0,400.0,1
131,Pitztal Glacier,1035.7,https://www.pitztaler-gletscher.at,"{'lat': '47.06', 'long': '10.80'}",Austria,Imst,3440.0,755.0,40.0,7.0,16.0,700.0,1
132,Shigakogen Mountain Resort,1035.6,https://www.shigakogen-ski.or.jp/,"{'lat': '36.731667', 'long': '138.508611'}",Japan,Nagano Prefecture,2307.0,967.0,83.0,48.0,83.0,500.0,1
133,Kirkwood,1035.3,https://www.kirkwood.com/,"{'lat': '38.6844', 'long': '-120.0659'}",USA,California,2987.0,610.0,65.0,13.0,3.0,1200.0,1
134,Silverton Mountain,1035.0,https://silvertonmountain.com/,"{'lat': '37.8855', 'long': '-107.6659'}",USA,Colorado,3790.0,643.0,100.0,1.0,1.0,900.0,1
135,Taos,1034.7,https://www.skitaos.com/,"{'lat': '36.5970', 'long': '-105.4438'}",USA,New Mexico,3795.0,990.0,113.0,14.0,113.0,750.0,1
136,Spieljoch,1034.2,https://www.spieljochbahn.at/,"{'lat': '47.3460', 'long': '11.8500'}",Austria,Schwaz,2054.0,1444.0,17.0,11.0,17.0,300.0,1
137,Wildkogel,1034.2,https://www.wildkogel-arena.at/,"{'lat': '47.2738', 'long': '12.2784'}",Austria,Zell am See,2150.0,1330.0,75.0,20.0,3.0,400.0,1
138,See,1034.1,https://www.see.at/bergbahnsee,"{'lat': '47.0853', 'long': '10.4503'}",Austria,Landeck,2570.0,1530.0,42.5,11.0,24.0,500.0,1
139,Powderbird,1033.9,https://www.powderbird.com/,"{'lat': '40.5781', 'long': '-111.6372'}",USA,Utah,3354.0,916.0,85.0,10.0,70.0,1270.0,1
140,Killington,1033.4,https://www.killington.com/,"{'lat': '43.6267', 'long': '-72.7962'}",USA,Vermont,1293.0,938.0,118.0,22.0,68.0,560.0,1
141,Nauders am Reschenpass,1033.4,https://www.nauders.com/,"{'lat': '46.8975', 'long': '10.5078'}",Austria,Bezirk Landeck,2750.0,1350.0,75.0,11.0,3.0,600.0,1
142,Highland Powder Cat Skiing,1033.2,http://www.highlandpowderskiing.com/,"{'lat': '49.5', 'long': '-115.5'}",Canada,British Columbia,2450.0,1250.0,20.0,0.0,0.0,500.0,1
143,Zao Onsen,1032.8,https://zaomountainresort.com/,"{'lat': '38.1671', 'long': '140.3953'}",Japan,Yamagata Prefecture,1661.0,881.0,50.0,35.0,42.0,900.0,1
144,Adelboden/Lenk,1032.5,https://www.adelboden-lenk.ch/,"{'lat': '46.4900', 'long': '7.5573'}",Switzerland,Bern,2200.0,940.0,86.0,25.0,37.0,400.0,1
145,Grand Tourmalet,1032.4,https://www.n-py.com/fr/grand-tourmalet,"{'lat': '42.9092', 'long': '0.1758'}",France,Hautes-Pyrénées,2500.0,1250.0,100.0,29.0,50.0,300.0,1
